"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
611,"2020-03-01 00:04:09.7640","2020-03-01 00:14:21.5270",3618,"27 St & Hunter St",40.7485,-73.941275,3618,"27 St & Hunter St",40.7485,-73.941275,39808,"Subscriber",1978,1
375,"2020-03-01 00:04:10.3740","2020-03-01 00:10:26.1730",285,"Broadway & E 14 St",40.73454567,-73.99074142,3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,28743,"Subscriber",1982,1
582,"2020-03-01 00:04:22.3530","2020-03-01 00:14:04.7990",497,"E 17 St & Broadway",40.73704984,-73.99009296,3799,"6 Ave & W 34 St",40.74964,-73.98805,34058,"Subscriber",1956,1
233,"2020-03-01 00:04:43.9330","2020-03-01 00:08:37.4360",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,3737,"Stanton St & Norfolk St",40.720747,-73.986274,38182,"Subscriber",1980,1
626,"2020-03-01 00:04:49.3380","2020-03-01 00:15:15.6850",3165,"Central Park West & W 72 St",40.77579376683666,-73.9762057363987,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,35082,"Subscriber",1975,1
496,"2020-03-01 00:04:52.3740","2020-03-01 00:13:08.9210",3799,"6 Ave & W 34 St",40.74964,-73.98805,490,"8 Ave & W 33 St",40.751551,-73.993934,41591,"Subscriber",1979,1
432,"2020-03-01 00:04:55.5120","2020-03-01 00:12:08.2960",453,"W 22 St & 8 Ave",40.74475148,-73.99915362,285,"Broadway & E 14 St",40.73454567,-73.99074142,39062,"Subscriber",1961,1
135,"2020-03-01 00:05:03.9790","2020-03-01 00:07:19.0830",3350,"W 100 St & Broadway",40.7973721,-73.97041192,3689,"W 104 St & Amsterdam Ave",40.799041392882984,-73.96649479866028,16081,"Subscriber",1994,1
258,"2020-03-01 00:05:19.7610","2020-03-01 00:09:38.6140",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,478,"11 Ave & W 41 St",40.76030096,-73.99884222,30694,"Subscriber",1993,1
1044,"2020-03-01 00:05:28.5590","2020-03-01 00:22:53.0640",447,"8 Ave & W 52 St",40.76370739,-73.9851615,3383,"Cathedral Pkwy & Broadway",40.804213,-73.96699104,37277,"Subscriber",1969,0
768,"2020-03-01 00:05:28.7540","2020-03-01 00:18:17.5270",500,"Broadway & W 51 St",40.76228826,-73.98336183,422,"W 59 St & 10 Ave",40.770513,-73.988038,39637,"Subscriber",1947,2
202,"2020-03-01 00:05:41.8990","2020-03-01 00:09:04.1160",445,"E 10 St & Avenue A",40.72740794,-73.98142006,432,"E 7 St & Avenue A",40.72621788,-73.98379855,38440,"Subscriber",1985,1
1090,"2020-03-01 00:05:46.2930","2020-03-01 00:23:56.7620",373,"Willoughby Ave & Walworth St",40.69331716,-73.95381995,391,"Clark St & Henry St",40.69760127,-73.99344559,41545,"Subscriber",1990,1
674,"2020-03-01 00:05:48.7590","2020-03-01 00:17:03.1200",3690,"Park Pl & Church St",40.71334184275907,-74.00935515761375,195,"Liberty St & Broadway",40.70905623,-74.01043382,27872,"Subscriber",1994,1
2428,"2020-03-01 00:05:49.5340","2020-03-01 00:46:18.5240",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,3916,"Pearl St & Peck Slip",40.708485,-74.002751,37334,"Subscriber",2000,0
883,"2020-03-01 00:05:50.2060","2020-03-01 00:20:33.8330",453,"W 22 St & 8 Ave",40.74475148,-73.99915362,480,"W 53 St & 10 Ave",40.76669671,-73.99061728,39275,"Subscriber",1983,1
125,"2020-03-01 00:05:50.9490","2020-03-01 00:07:56.5450",79,"Franklin St & W Broadway",40.71911552,-74.00666661,146,"Hudson St & Reade St",40.71625008,-74.0091059,34845,"Subscriber",1971,1
782,"2020-03-01 00:05:54.3960","2020-03-01 00:18:56.9020",504,"1 Ave & E 16 St",40.73221853,-73.98165557,307,"Canal St & Rutgers St",40.71427487,-73.98990025,31087,"Subscriber",1992,1
801,"2020-03-01 00:06:06.8490","2020-03-01 00:19:28.0430",3745,"36 Ave & 31 St",40.75651272984955,-73.92957486212252,3615,"44 Dr & 21 St",40.748,-73.9460927,32732,"Subscriber",1975,2
740,"2020-03-01 00:06:08.7110","2020-03-01 00:18:28.8000",504,"1 Ave & E 16 St",40.73221853,-73.98165557,3435,"Grand St & Elizabeth St",40.718822,-73.99596,39189,"Subscriber",1994,2
287,"2020-03-01 00:06:08.9640","2020-03-01 00:10:56.0950",3725,"2 Ave & E 72 St",40.7687620293096,-73.95840793848038,3142,"1 Ave & E 62 St",40.7612274,-73.96094022,32042,"Subscriber",1995,2
483,"2020-03-01 00:06:26.5080","2020-03-01 00:14:30.3570",3508,"St Nicholas Ave & Manhattan Ave",40.809725,-73.953149,3552,"W 113 St & Broadway",40.805973,-73.964928,15095,"Customer",2000,1
242,"2020-03-01 00:06:29.1020","2020-03-01 00:10:31.7250",489,"10 Ave & W 28 St",40.75066386,-74.00176802,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,35595,"Subscriber",1988,1
810,"2020-03-01 00:06:30.8130","2020-03-01 00:20:00.9120",385,"E 55 St & 2 Ave",40.75797322,-73.96603308,3157,"East End Ave & E 86 St",40.77518615,-73.94446054,33035,"Subscriber",1972,1
835,"2020-03-01 00:06:42.8050","2020-03-01 00:20:37.8530",3362,"Madison Ave & E 82 St",40.7781314,-73.96069399,3501,"E 118 St & Madison Ave",40.8014866,-73.9442507,19163,"Subscriber",1985,2
219,"2020-03-01 00:06:44.6100","2020-03-01 00:10:23.9050",3686,"Gansevoort St & Hudson St",40.739448201304036,-74.00507032871246,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,28885,"Subscriber",1994,1
201,"2020-03-01 00:06:53.8900","2020-03-01 00:10:15.7320",528,"2 Ave & E 31 St",40.74290902,-73.97706058,472,"E 32 St & Park Ave",40.7457121,-73.98194829,34973,"Subscriber",1990,1
421,"2020-03-01 00:06:59.3460","2020-03-01 00:14:00.6310",497,"E 17 St & Broadway",40.73704984,-73.99009296,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,31088,"Subscriber",1984,1
397,"2020-03-01 00:07:39.9920","2020-03-01 00:14:17.7170",3718,"E 11 St & Avenue B",40.72746420692392,-73.97950418293476,312,"Allen St & Stanton St",40.722055,-73.989111,16210,"Subscriber",1991,1
138,"2020-03-01 00:07:45.3600","2020-03-01 00:10:03.9300",3078,"Broadway & Roebling St",40.70924826276157,-73.96063148975372,389,"Broadway & Berry St",40.71044554,-73.96525063,38946,"Subscriber",1971,1
143,"2020-03-01 00:08:04.4380","2020-03-01 00:10:27.6120",119,"Park Ave & St Edwards St",40.69608941,-73.97803415,245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,34090,"Subscriber",1963,1
210,"2020-03-01 00:08:26.4040","2020-03-01 00:11:57.3840",285,"Broadway & E 14 St",40.73454567,-73.99074142,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,41847,"Subscriber",1967,1
452,"2020-03-01 00:08:26.7190","2020-03-01 00:15:59.2990",518,"E 39 St & 2 Ave",40.74780373,-73.9734419,367,"E 53 St & Lexington Ave",40.75828065,-73.97069431,35277,"Subscriber",1996,1
122,"2020-03-01 00:08:50.1610","2020-03-01 00:10:52.3950",317,"E 6 St & Avenue B",40.72453734,-73.98185424,393,"E 5 St & Avenue C",40.72299208,-73.97995466,33169,"Subscriber",1993,1
106,"2020-03-01 00:08:53.2540","2020-03-01 00:10:40.0540",317,"E 6 St & Avenue B",40.72453734,-73.98185424,393,"E 5 St & Avenue C",40.72299208,-73.97995466,39094,"Subscriber",1993,2
1813,"2020-03-01 00:09:02.6260","2020-03-01 00:39:16.4950",3783,"Cliff St & Fulton St",40.70838,-74.00495,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,41200,"Subscriber",1995,1
466,"2020-03-01 00:09:07.4890","2020-03-01 00:16:54.4790",529,"W 42 St & 8 Ave",40.7575699,-73.99098507,468,"Broadway & W 56 St",40.7652654,-73.98192338,32043,"Subscriber",1987,1
617,"2020-03-01 00:09:28.2890","2020-03-01 00:19:46.2350",3086,"Graham Ave & Conselyea St",40.715143,-73.944507,3115,"India St & Manhattan Ave",40.73232194,-73.9550858,40868,"Subscriber",1983,1
1450,"2020-03-01 00:09:44.0180","2020-03-01 00:33:54.2870",3809,"W 55 St & 6 Ave",40.763189,-73.978434,3259,"9 Ave & W 28 St",40.74937024193277,-73.99923384189606,33887,"Subscriber",1976,2
